Respondent ID,Age,Annual Income,Financial Responsibility,On-Time Payment,Credit Utilization,Credit Score
R1,56,780.24,6,68.11,50.16,646
R2,46,1657.77,2,86.29,,921
R3,32,658.35,7,94.72,68.35,656
R4,60,1426.7,3,,37.54,850
R5,25,1568.41,3,,,874
R6,38,1272.15,5,80.11,88.46,754
R7,56,1048.84,3,79.57,12.52,783
R8,36,941.31,2,90.33,20.06,745
R9,40,827.96,10,73.82,21.62,763
R10,28,1873.15,9,99.81,69.12,1041
R11,28,1695.11,2,52.97,60.3,850
R12,41,1937.05,2,50.16,61.9,917
R13,53,423.74,8,82.01,94.08,526
R14,57,1515.56,9,64.92,77.59,862
R15,41,1889.01,7,62.02,12.79,1045
R16,20,526.22,3,65.59,34.75,569
R17,39,319.69,9,62.8,43.54,548
R18,19,1534.02,3,51.54,39.6,833
R19,41,1234.05,5,98.58,66.93,818
R20,61,1715.29,9,61.04,89.19,890
R21,47,451.59,3,86.7,30.61,591
R22,55,1631.48,7,88.13,55.19,945
R23,19,562.93,,96.46,78.94,603
R24,38,494.58,4,51.53,41.62,531
R25,50,495.68,4,93.6,16.81,657
R26,29,1666.23,7,76.36,47.5,951
R27,39,1397.35,8,81.63,5.52,959
R28,61,1141.52,1,,94.24,653
R29,42,,5,90.99,7.48,848
R30,44,1778.96,7,66.67,43.85,970
R31,59,906.4,4,86.65,52.99,703
R32,45,1669.88,4,76.43,98.53,838
R33,33,990.44,4,89.67,16.6,794
R34,32,878.5,,99.53,11.44,803
R35,64,1032.82,7,,0.87,821
R36,61,742.48,2,99.73,15.56,721
R37,20,1545.7,5,54.49,20.73,896
R38,54,1104.9,4,50.12,63.06,673
R39,24,617.98,3,52.21,21.97,579
R40,38,1819.23,7,67.09,,983
R41,26,891,6,81.65,82.66,660
R42,56,1178.4,7,53.45,36.56,770
R43,35,1831.65,5,50.28,35.37,943
R44,21,1323.63,6,96.85,30.25,909
R45,42,410.42,5,91.1,97.54,499
R46,31,1891.7,7,90.46,17.01,1085
R47,26,1329.87,2,94.22,89.82,762
R48,43,802.83,5,85,77.68,644
R49,19,450.69,6,55.22,7.65,601
R50,37,1629.25,,69.96,98.67,838
R51,45,1316.13,5,86.16,27.14,876
R52,64,1160.23,10,64.02,9.86,860
R53,24,1809.01,7,84.37,82.93,963
R54,61,1619.47,10,51.22,70.67,875
R55,25,473.01,8,65.31,61.72,563
R56,64,761.1,7,77.46,15.6,734
R57,52,647.28,5,81.6,47.85,645
R58,31,1539.1,1,78.85,78.06,814
R59,34,260.36,5,84.89,30.36,550
R60,53,1225.8,,50.3,31.17,776
R61,57,1572.43,2,55.05,0.31,901
R62,21,1778.18,5,93.45,17.42,1039
R63,19,815.75,5,84.09,87.54,621
R64,23,1678.26,2,55.65,44.17,863
R65,59,399.14,5,92.1,98.42,508
R66,21,1723.61,4,62.11,39.57,915
R67,46,429.48,1,73.91,71.52,483
R68,35,915.12,3,,28.19,721
R69,43,1635.13,1,85.51,36.38,925
R70,61,469.85,5,83.34,19.07,632
R71,51,612.65,4,60.56,34.71,596
R72,27,1500.05,7,93.17,54.72,918
R73,53,1496.07,5,70.07,99.18,783
R74,31,1354.07,10,64.63,66.42,826
R75,48,1449.11,4,57.62,19.92,856
R76,32,1176.9,2,63.31,4.5,791
R77,25,,4,51.1,12.64,760
R78,31,822.25,2,79.16,56.26,639
R79,40,526.88,8,92.11,76.52,614
R80,57,,3,77.45,94.04,682
R81,38,1250.11,9,60.96,1.58,894
R82,33,921.53,4,51.68,52.28,643
R83,62,1031.61,6,60.73,47.09,710
R84,35,1905.11,10,70.81,65.61,1004
R85,64,476.03,5,87.98,55.96,588
R86,41,1255.21,10,59.39,68.7,782
R87,43,1110.6,1,85.99,,737
R88,42,1300.62,9,,11.7,916
R89,62,232.6,1,72.7,79.97,395
R90,58,1769.82,8,91.07,12.32,1068
R91,46,,9,77.73,69.85,770
R92,32,1217.24,9,81.85,41.61,862
R93,62,1453.97,1,76.31,51.39,826
R94,18,1860.5,2,73.16,90.33,885
R95,42,1473.03,1,61.73,88.99,747
R96,24,474.57,10,65.16,81.79,554
R97,26,1237.32,2,64.5,,737
R98,41,1292.09,10,78.16,73.62,834
R99,18,963.44,8,56,51.29,698
R100,61,1525.6,5,95.84,86.96,863
R101,25,1881.86,7,86.03,40.28,1036
R102,41,1866.02,2,,97.02,876
R103,28,1011.51,8,57.93,93.23,658
R104,34,403.83,,94.1,74.16,551
R105,25,1972.71,8,91.19,27.94,1104
R106,52,1710.02,1,86.09,13.17,981
R107,52,424.39,1,63.58,85.47,444
R108,50,1857.52,7,70.12,16.53,1042
R109,22,1765.81,8,55.14,85.43,898
R110,59,1133.91,3,59.45,49.08,706
R111,56,1264.3,5,89.15,40.66,844
R112,58,918.2,1,85.75,90.32,627
R113,45,298.57,,79.67,60.39,515
R114,24,803.36,5,94.79,57.66,687
R115,26,1645.14,8,79.16,55.88,954
R116,25,208.34,8,73.35,37.12,539
R117,29,800.3,9,67.02,78.56,647
R118,51,916.7,7,97.02,25.28,810
R119,50,1167.31,1,54.14,93.89,634
R120,40,1855.74,3,96.54,,998
R121,41,823.42,8,91.34,,736
R122,54,824.52,3,56.5,72.95,587
R123,52,1527.5,8,78.25,57.32,901
R124,61,1013.99,1,,33.76,721
R125,57,604.29,5,78.59,98.85,547
R126,39,1014.39,4,95.36,2.52,825
R127,44,453.54,5,97.15,25.26,645
R128,52,517.5,8,71.12,52.01,598
R129,18,1097.06,10,68.87,52.2,792
R130,52,954.07,4,96.82,58.89,721
R131,54,1846.72,4,83.76,75.17,953
R132,64,852.31,3,55.8,62.35,603
R133,31,1245.06,7,52.11,60.03,766
R134,20,1338.08,3,78.23,5.35,874
R135,18,223.57,3,96.51,37.65,538
R136,22,1394.37,,92.21,23.21,913
R137,43,520.46,5,83.79,,590
R138,31,,5,56.96,55.43,710
R139,56,467.59,6,62.71,19.95,596
R140,44,946.32,8,93.78,29.39,813
R141,26,353.63,10,59.14,23.71,592
R142,32,1994.37,6,63.92,94.85,951
R143,32,1103.95,1,56.48,94.47,611
R144,43,1271.69,8,83.81,60.99,838
R145,59,320.74,8,97.2,92.45,534
R146,30,1549.93,9,63.45,78.58,862
R147,49,577.83,9,73.77,58.99,624
R148,56,1816.5,2,81.72,0.64,1019
R149,49,569.25,2,99.97,77.25,584
R150,21,543.24,3,55.24,70.25,501
R151,47,265.79,1,74.93,61.53,457
R152,54,1049.72,4,69.26,76.04,678
R153,40,1216.71,4,93.29,51.29,819
R154,56,318.28,9,73.8,70.41,523
R155,62,1595.95,9,55.55,93.52,832
R156,32,,9,81.72,37.58,838
R157,60,1143.9,10,88.54,70.81,814
R158,46,993.37,7,50.14,47.57,701
R159,53,921.37,2,92.95,67.44,690
R160,30,1207.35,10,,76.29,792
R161,49,479.43,5,77.6,4.55,648
R162,24,527.47,4,70.79,64.66,544
R163,39,1751.21,8,85.98,22.67,1043
R164,45,1903.01,2,68.56,67,919
R165,19,871.96,6,,46.83,701
R166,59,687.34,5,86.52,77.36,608
R167,62,,2,82.39,12.34,808
R168,23,935.72,10,89.81,62.63,766
R169,45,245.7,1,87.7,27.85,522
R170,45,481.07,8,51.8,85.3,507
R171,61,1488.75,2,69.74,,826
R172,61,1386.06,7,96.54,99.64,832
R173,37,248.77,9,56.29,79.6,463
R174,47,599.55,9,86.85,,662
R175,28,615.93,8,98.73,21.55,722
R176,45,1409.41,10,52.61,33.6,882
R177,42,235.48,9,84.11,46.57,564
R178,56,387.4,2,73.41,77.34,477
R179,50,1639.85,6,,91.5,859
R180,18,521.38,4,54.27,,539
R181,44,1374.94,4,52.15,92.24,724
R182,30,628.73,5,83.34,69.56,602
R183,58,378.99,,91.17,61.08,548
R184,20,637.71,1,89.1,19.98,650
R185,56,1500.08,,77.19,5.55,943
R186,23,1740.25,5,54.99,56.85,896
R187,25,1694.4,3,84.4,65.15,903
R188,44,914.93,10,62.09,21.08,758
R189,26,1402.55,7,95.55,55.65,904
R190,54,568.97,7,91.91,85.65,593
R191,50,727.67,1,85.47,83.51,568
R192,59,1813.4,9,97.44,92.74,999
R193,61,223.4,2,51.57,36.59,433
R194,41,,5,86.81,,784
R195,32,574.2,5,66.51,74.94,542
R196,49,247.76,8,95.3,43.11,585
R197,49,526.58,8,63.33,8.75,656
R198,41,1249.47,7,86.24,28.28,865
R199,58,958.56,7,93.88,41.86,781
R200,29,1806.81,6,52.08,29.25,963
R201,56,1671.4,6,69.88,33.22,948
R202,19,815.27,9,88.12,29.38,766
R203,20,666.96,6,72.75,4.15,698
R204,54,883.45,2,63.36,63.71,618
R205,34,1262.53,2,60.99,59.73,737
R206,19,682.51,5,56.58,65.34,565
R207,19,1323.47,4,92.86,19.23,885
R208,45,936.94,2,78.77,29.57,723
R209,40,1193.68,3,53.82,61.96,704
R210,54,985.03,7,69.13,59.96,721
R211,49,730.04,8,68.39,50.63,655
R212,50,1907.22,6,59.09,,975
R213,18,1574.49,5,71.78,91.29,836
R214,36,452.2,1,66.6,33.98,529
R215,19,1763.24,8,67.09,45.56,971
R216,61,1077.38,3,86.95,67.81,732
R217,43,1810.19,6,61.16,54.3,934
R218,49,1639.74,3,82.09,34.69,941
R219,23,965.38,7,78.53,43.56,758
R220,49,240.44,7,78.4,79.45,479
R221,21,683.62,9,83.15,27.81,709
R222,28,1174.94,5,77.42,14.23,838
R223,34,1340.26,8,93.96,31.32,928
R224,55,664.2,10,83.78,84.95,639
R225,41,450.84,10,77.35,8.9,666
R226,22,1702.87,8,91.49,99.17,921
R227,51,,1,80.31,54.1,726
R228,23,1146.24,5,64.56,98.48,678
R229,39,509.02,3,60.35,93.9,466
R230,28,690.15,1,57.62,45.28,567
R231,33,233.1,4,94.97,19.85,580
R232,50,1845.74,8,85.51,,1031
R233,26,411.95,3,96.87,24,616
R234,23,1237.73,10,80.16,71.01,833
R235,33,693.3,2,73.67,27.29,640
R236,46,1197.52,9,52.99,34.14,799
R237,20,1372.56,10,83.58,,905
R238,37,1693.54,5,79.11,91.32,885
R239,53,571.56,7,99.51,18.94,710
R240,36,,2,61.96,0.5,782
R241,43,446.39,9,76.54,6.01,673
R242,20,1820.03,9,82.55,90.48,966
R243,36,1773,4,82.23,64.75,933
R244,37,1275.34,4,78.06,27.3,837
R245,49,1280.93,6,88.85,17.72,888
R246,24,1397.07,10,60.25,29.43,888
R247,58,515.67,10,86.28,11.48,702
R248,50,1845.94,10,80.99,,1048
R249,57,953.79,6,,78.42,676
R250,56,889.65,1,92.36,46.24,685
R251,35,1134.05,9,65.76,86.5,733
R252,57,284.54,2,63.81,24.95,496
R253,18,499.31,5,99.08,71.71,580
R254,28,1528.46,9,76.36,85.61,882
R255,45,,4,95.32,35.68,817
R256,42,1285.67,3,58.19,75.75,728
R257,40,641.63,7,82.14,29.51,691
R258,48,900.73,6,90.49,29.89,773
R259,47,719.65,8,97.37,10.71,774
R260,59,840.21,3,66.87,44.01,658
R261,52,1494.28,5,86.25,,889
R262,24,734.82,10,76.94,94.02,639
R263,33,1219.53,,53.03,60.38,736
R264,43,1056.89,4,84.5,86.31,695
R265,19,1394.61,4,84.5,82.25,801
R266,18,1886.29,10,96.53,17.33,1136
R267,29,1518.63,8,74.87,48.58,906
R268,22,586.89,6,61.51,11.69,634
R269,54,256.13,3,52.23,68.22,418
R270,49,672.08,10,70.78,94.99,609
R271,26,1271.14,5,65.1,13.71,848
R272,58,292.57,6,88.05,73.39,523
R273,52,1093.46,5,67.71,63.22,711
R274,36,1274.32,6,97.45,58.36,853
R275,33,801.64,8,98.12,39.01,764
R276,20,1587.64,7,81.05,35.51,956
R277,37,391.88,5,96.43,4.52,645
R278,41,335.25,10,88.04,21.79,642
R279,50,1510.74,6,77.34,1.52,969
R280,41,1091.88,4,59.02,58.14,697
R281,28,1439.12,9,72.93,10.59,958
R282,25,982.69,,78.04,87.3,664
R283,53,643.52,1,93.2,52.31,602
R284,55,1674.38,7,74.07,69.97,925
R285,57,1638.95,7,94.88,41.09,990
R286,37,1450.45,4,83.72,56.06,848
R287,52,689.86,3,56.85,94.27,501
R288,42,1262.42,8,99.75,,877
R289,52,849.75,5,76.36,25.39,713
R290,42,364.85,10,69.59,78,539
R291,46,1851.16,7,82.96,9.87,1066
R292,35,446.27,4,55.44,7.57,566
R293,63,1910.43,4,81.83,36.15,1015
R294,35,1002.81,8,74.91,9.22,822
R295,19,533.24,8,70.33,58.51,595
R296,52,1175.42,2,97.65,22.63,840
R297,33,1771.3,2,76.13,89.57,859
R298,58,1518,3,60.96,78.35,794
R299,53,1651.81,,72.95,69.97,883
R300,50,1385.81,1,95.97,61.69,835
R301,21,,3,58.8,86.35,648
R302,50,1728.55,6,60.7,22.31,959
R303,31,649.4,8,50.65,87.31,555
R304,38,1080.96,,50.71,78.95,655
R305,37,598.18,6,91.47,74.82,610
R306,25,1977.8,5,,56.13,1021
R307,24,1899.31,4,67.75,24.62,1006
R308,20,270.97,3,84.92,42.35,509
R309,34,,4,69.76,79.36,687
R310,50,1865.45,7,97.64,3.18,1120
R311,29,525.04,1,98.35,78.21,544
R312,39,1222.3,7,69.64,24.01,843
R313,39,1847.88,1,92.71,14.43,1020
R314,63,261.1,2,88.65,11.57,548
R315,47,1455.36,4,65.5,2.73,912
R316,55,735.23,1,61.6,52.36,583
R317,55,1863.91,9,72.91,21.83,1065
R318,62,1947.9,6,,98.94,953
R319,25,1899.68,1,,57.44,948
R320,44,1053.59,1,88.18,13.79,787
R321,44,1751.68,6,92.76,68.88,970
R322,51,,4,,,752
R323,38,774.38,4,91.77,74.52,649
R324,47,1692.05,6,89.22,7.64,1024
R325,50,266.61,7,68.85,89.59,455
R326,45,1273.29,9,77.6,79.39,803
R327,64,614.02,10,90.24,15.83,746
R328,50,417.02,5,52.3,5.18,572
R329,22,338.52,9,90.4,55.73,596
R330,36,1453.32,4,58.89,15.6,865
R331,21,811.77,10,75.73,83.46,665
R332,52,1504.58,2,90.41,35.83,888
R333,34,317.64,3,62.69,91.29,403
R334,61,767.52,1,62.29,56.57,573
R335,45,1171.08,6,70.14,18.27,819
R336,47,1623.3,6,94.73,13.96,1020
R337,46,773.75,,50.02,57.65,605
R338,63,1326.6,3,95.07,76.19,806
R339,23,1794.76,5,57.69,78.15,876
R340,52,1308.55,3,,27.58,835
R341,58,619.33,10,97.74,20.42,759
R342,54,243.92,3,74.73,1.68,549
R343,41,1766.18,,75.64,67.92,932
R344,46,238.28,3,74.08,7.66,536
R345,63,1774.46,5,81.77,42.08,984
R346,48,,5,,60.17,735
R347,52,1890.32,4,51.63,93.71,876
R348,50,1637.81,1,52.89,31.18,869
R349,38,1996.28,5,72.22,24.98,1046
R350,49,831.28,10,63.78,65.42,684
R351,40,1580.94,5,81.1,,921
R352,50,923.48,4,99.62,33.21,768
R353,20,1063.78,6,69.32,92.81,680
R354,35,1329.51,10,78.69,84.49,819
R355,42,1772.62,4,70.78,22.4,970
R356,59,1971.35,,92.36,23.91,1084
R357,48,1582.89,7,95.11,51.23,952
R358,20,,2,93.87,77.36,715
R359,57,958.44,3,98.72,4.4,804
R360,63,1527.65,1,51.38,69.33,769
R361,41,629.8,8,91.99,64.82,662
R362,49,398.85,9,87.59,23.15,660
R363,64,838.32,4,61.43,68.14,608
R364,39,,6,97.82,94.02,736
R365,40,733.35,9,57.41,4.68,711
R366,19,620.49,6,83.98,31.97,672
R367,44,275.77,9,61.24,43.82,526
R368,59,232.17,4,71.57,89.93,421
R369,19,1977.9,8,85.96,96.23,1009
R370,43,969.99,9,78.17,44.41,763
R371,34,891.79,4,71.38,75,628
R372,57,1423.37,5,66.32,53.17,823
R373,50,592.86,8,91.98,53.78,651
R374,26,1909.93,10,,27.81,1077
R375,60,1615.42,6,71.51,21.7,950
R376,56,360.94,7,,28.8,578
R377,46,951.65,3,92.29,55.63,706
R378,59,1782.41,7,70.05,2.92,1033
R379,43,1900.52,8,88.16,90.72,986
R380,52,1041.32,10,91.16,15.63,861
R381,42,1304.14,6,94.44,22.01,897
R382,41,500.66,10,,51.83,621
R383,30,1984.1,9,60.22,71.01,1008
R384,24,617.01,6,62.77,9.57,661
R385,53,1896.92,,64.78,31.77,1015
R386,62,1369.36,4,79.69,96.87,766
R387,37,1293.93,8,51.64,26.23,839
R388,18,1122.84,4,81.8,31.31,802
R389,25,615.21,2,68.22,83.65,514
R390,63,517.75,10,64.76,5.02,678
R391,33,596.88,9,93.97,46.46,677
R392,31,535.59,5,73,37.96,598
R393,29,1603.25,4,54.75,31.66,880
R394,40,830.23,2,91.34,28.57,700
R395,32,304.12,1,52.38,9.14,500
R396,45,1944.38,7,86.34,31.48,1076
R397,51,1790.81,6,88.7,4.31,1067
R398,19,1869.95,2,67.63,78.1,907
R399,49,1990.83,8,91.24,39.82,1104
